Date,Open,High,Low,Close,Adj Close,Volume,VWAP,Symbol,Ticker
2021-10-15,53929.78125,62757.12890625,53735.14453125,61593.94921875,61593.94921875,285820220375,56902.98992152412,BTC_USD,BTC-USD
2021-10-22,61609.52734375,66930.390625,59164.46875,60692.265625,60692.265625,266941249896,62658.60567528898,BTC_USD,BTC-USD
2021-10-29,60694.62890625,63729.32421875,58206.91796875,62227.96484375,62227.96484375,245913649024,60890.52256283632,BTC_USD,BTC-USD
2021-11-05,62239.36328125,64242.79296875,59695.18359375,61125.67578125,61125.67578125,237642057889,61821.096725193514,BTC_USD,BTC-USD
2021-11-12,61068.875,68789.625,60163.78125,64155.94140625,64155.94140625,258001644075,64875.70726860547,BTC_USD,BTC-USD
2021-11-19,64158.12109375,66281.5703125,55705.1796875,58119.578125,58119.578125,252268559509,60996.64122988702,BTC_USD,BTC-USD
2021-11-26,58115.08203125,60004.42578125,53569.765625,53569.765625,53569.765625,241999969408,57312.52640581729,BTC_USD,BTC-USD
2021-12-03,53736.4296875,59113.40234375,52496.5859375,53598.24609375,53598.24609375,236784477253,56374.7782735882,BTC_USD,BTC-USD
2021-12-10,53727.87890625,53904.6796875,42874.6171875,47243.3046875,47243.3046875,259017283302,49231.195229440294,BTC_USD,BTC-USD
2021-12-17,47264.6328125,50724.8671875,45618.21484375,46202.14453125,46202.14453125,211233144511,47936.51609814518,BTC_USD,BTC-USD
2021-12-24,46219.25390625,51814.02734375,45579.80859375,50822.1953125,50822.1953125,186309822503,48322.568730115665,BTC_USD,BTC-USD
2021-12-31,50854.91796875,51956.328125,45819.953125,46306.4453125,46306.4453125,191459636198,48499.47112247315,BTC_USD,BTC-USD
2022-01-07,46311.74609375,47881.40625,41077.4453125,41557.90234375,41557.90234375,279356283486,44634.52398731463,BTC_USD,BTC-USD
2022-01-14,41561.46484375,44278.421875,39796.5703125,43099.69921875,43099.69921875,212561098618,42454.66983265677,BTC_USD,BTC-USD
2022-01-21,43101.8984375,43724.671875,35791.42578125,36457.31640625,36457.31640625,166867128860,41143.34370270094,BTC_USD,BTC-USD
2022-01-28,36471.58984375,38825.41015625,33184.05859375,37784.33203125,37784.33203125,212622064733,36301.26934616137,BTC_USD,BTC-USD
2022-02-04,37780.71484375,41527.78515625,36375.5390625,41500.875,41500.875,140019897289,38299.326045537535,BTC_USD,BTC-USD
2022-02-11,41501.48046875,45661.171875,41038.09765625,42407.9375,42407.9375,179859059961,43319.767265627124,BTC_USD,BTC-USD
2022-02-18,42412.30078125,44667.21875,39637.6171875,40030.9765625,40030.9765625,145792639556,42339.8531409232,BTC_USD,BTC-USD
2022-02-25,40026.0234375,40418.87890625,34459.21875,39214.21875,39214.21875,181629162658,38113.87455881246,BTC_USD,BTC-USD
2022-03-04,39213.08203125,45077.578125,37268.9765625,39137.60546875,39137.60546875,191753910140,41696.38933182476,BTC_USD,BTC-USD
2022-03-11,39148.44921875,42465.671875,37260.203125,38794.97265625,38794.97265625,180770950541,39395.86803989772,BTC_USD,BTC-USD
2022-03-18,38794.46484375,42195.74609375,37680.734375,41801.15625,41801.15625,176221438132,40019.455396701684,BTC_USD,BTC-USD
2022-03-25,41794.6484375,44999.4921875,40668.04296875,44348.73046875,44348.73046875,183273343910,42589.34857147184,BTC_USD,BTC-USD
2022-04-01,44349.859375,48086.8359375,44166.2734375,46281.64453125,46281.64453125,213694535844,46468.250053592885,BTC_USD,BTC-USD
